序号,一级序号,二级序号,三级序号,二级产品类别,intended_use,grade,row_id
3,10,用于激素检测的试剂,10004,人绒毛膜促性腺激素检测试剂,用于检测人体样本中的人绒毛膜促性腺激素含量。临床上用于异位妊娠、早孕的辅助诊断。不用于肿瘤的辅助诊断。,Ⅱ,463
4,10,用于激素检测的试剂,10005,β-人绒毛膜促性腺激素检测试剂,用于检测人体样本中的β-人绒毛膜促性腺激素含量。临床上用于早期妊娠诊断及妊娠监测、评估孕中期唐氏综合征的风险。不用于肿瘤的辅助诊断。,Ⅱ,464
5,10,用于激素检测的试剂,10006,游离β-人绒毛膜促性腺激素检测试剂,用于检测人体样本中游离β-人绒毛膜促性腺激素含量。临床上用于异位妊娠、早孕等辅助诊断、评估孕早期和中期唐氏综合征的风险。,Ⅱ,465
6,10,用于激素检测的试剂,10007,总甲状腺素（TT4）检测试剂,用于检测人体样本中的总甲状腺素（TT4）含量。临床上用于甲状腺疾病的辅助诊断。,Ⅱ,466
7,10,用于激素检测的试剂,10008,游离甲状腺素（FT4）检测试剂,用于检测人体样本中的游离甲状腺素（游离四碘甲状腺原氨酸，FT4）含量。临床上用于甲状腺疾病的辅助诊断。,Ⅱ,467
8,10,用于激素检测的试剂,10009,总三碘甲状腺原氨酸（TT3）检测试剂,用于检测人体样本中的总三碘甲状腺原氨酸（TT3）含量。临床上用于甲状腺疾病的辅助诊断。,Ⅱ,468
9,10,用于激素检测的试剂,10010,游离三碘甲状腺原氨酸（FT3）检测试剂,用于检测人体样本中的游离三碘甲状腺原氨酸（FT3）含量。临床上用于甲状腺疾病的辅助诊断。,Ⅱ,469
10,10,用于激素检测的试剂,10011,反三碘甲状腺原氨酸（rT3）检测试剂,用于检测人体样本中的反三碘甲状腺原氨酸（rT3）含量。临床上用于甲状腺功能的辅助诊断。,Ⅱ,470
1,10,用于激素检测的试剂,10012,促甲状腺素检测试剂,用于检测人体样本中的促甲状腺激素含量。临床上用于辅助评价下丘脑-垂体-甲状腺功能。,Ⅱ,471
2,10,用于激素检测的试剂,10013,新生儿促甲状腺素检测试剂,用于检测新生儿人体样本中促甲状腺素含量。临床上用于辅助筛查新生儿甲状腺机能衰退。,Ⅱ,472
3,10,用于激素检测的试剂,10014,甲状腺素结合力检测试剂,用于检测人体样本中的甲状腺素结合力（T-Uptake）。临床上用于评价甲状腺功能。,Ⅱ,473
4,10,用于激素检测的试剂,10015,甲状旁腺激素检测试剂,用于检测人体样本中的甲状旁腺激素含量。临床上用于评价甲状旁腺功能，以及高钙血症或低钙血症的辅助诊断。,Ⅱ,474
5,10,用于激素检测的试剂,10016,睾酮检测试剂,用于检测人体样本中的睾酮含量。临床上用于睾酮水平异常相关疾病的辅助诊断。,Ⅱ,475
6,10,用于激素检测的试剂,10017,游离睾酮检测试剂,用于检测人体样本中的游离睾酮含量。临床上用于游离睾酮水平异常相关疾病的辅助诊断。,Ⅱ,476
7,10,用于激素检测的试剂,10018,雌二醇检测试剂,用于检测人体样本中的雌二醇含量。临床上用于生殖内分泌疾病的辅助诊断。,Ⅱ,477
8,10,用于激素检测的试剂,10019,雌三醇检测试剂,用于检测人体样本中的雌三醇含量。临床上用作异常妊娠的辅助评价指标和唐氏综合征的筛查。,Ⅱ,478
9,10,用于激素检测的试剂,10020,游离雌三醇检测试剂,用于检测人体样本中的游离雌三醇含量。临床上用作异常妊娠的辅助评价指标和唐氏综合征的筛查。,Ⅱ,479
10,10,用于激素检测的试剂,10021,孕酮检测试剂,用于检测人体样本中的孕酮含量。临床上用于先兆流产、黄体功能不全等孕酮水平异常相关疾病的辅助诊断。,Ⅱ,480
1,10,用于激素检测的试剂,10022,胰岛素检测试剂,用于检测人体样本中的胰岛素含量。临床上用于评价胰岛功能。,Ⅱ,481
2,10,用于激素检测的试剂,10023,C肽检测试剂,用于检测人体样本中的C肽含量。临床上用于评价胰岛功能。,Ⅱ,482
3,10,用于激素检测的试剂,10024,促肾上腺皮质激素（ACTH）检测试剂,用于检测人体样本中的促肾上腺皮质激素（ACTH）含量。临床上用于评价垂体—肾上腺功能，及ACTH水平异常导致的其他相关疾病的辅助诊断。,Ⅱ,483
4,10,用于激素检测的试剂,10025,皮质醇检测试剂,用于检测人体样本中的皮质醇含量。临床上用于肾上腺皮质疾病的辅助诊断。,Ⅱ,484
5,10,用于激素检测的试剂,10026,17α-羟孕酮检测试剂,用于检测人体样本中17α-羟孕酮含量。临床上用于肾上腺皮质疾病的辅助诊断。,Ⅱ,485
6,10,用于激素检测的试剂,10027,17-羟类固醇检测试剂,用于检测人体样本中的17-羟类固醇含量。临床上用于肾上腺皮质疾病的辅助诊断。,Ⅱ,486
7,10,用于激素检测的试剂,10028,17-酮类固醇检测试剂,用于检测人体样本中的17-酮类固醇含量。临床上用于肾上腺皮质疾病的辅助诊断。,Ⅱ,487
8,10,用于激素检测的试剂,10029,香草扁桃酸检测试剂,用于检测人体样本中的香草扁桃酸含量。临床上用于辅助评价肾上腺皮质功能。,Ⅱ,488
9,10,用于激素检测的试剂,10030,醛固酮检测试剂,用于检测人体样本中的醛固酮含量。临床上用于辅助评价肾上腺皮质功能和内分泌型高血压的辅助诊断。,Ⅱ,489
10,10,用于激素检测的试剂,10031,生长激素检测试剂,用于检测人体样本中的生长激素含量。临床上用于辅助评价垂体功能和非垂体疾病所致的生长激素水平异常。不用于恶性肿瘤患者的动态监测。,Ⅱ,490
1,10,用于激素检测的试剂,10032,雄烯二酮检测试剂,用于检测人体样本中的雄烯二酮含量。临床上用于多囊卵巢综合症、肾上腺皮质增生等疾病的辅助诊断。,Ⅱ,491
2,10,用于激素检测的试剂,10033,硫酸去氢表雄酮检测试剂,用于检测人体样本中硫酸去氢表雄酮（硫酸脱氢表雄酮）含量。临床上用于评价肾上腺分泌雄激素的水平。,Ⅱ,492
3,10,用于激素检测的试剂,10034,促红细胞生成素检测试剂,用于检测人体样本中的促红细胞生成素含量。临床上用于肾性贫血及红细胞增多症等的辅助诊断。,Ⅱ,493
4,10,用于激素检测的试剂,10035,甲状腺球蛋白（TG）检测试剂,用于检测人体样本中的甲状腺球蛋白（TG）含量。临床上用于甲状腺疾病的辅助诊断及治疗监测。,Ⅱ,494
5,10,用于激素检测的试剂,10036,性激素结合球蛋白（SHBG）检测试剂,用于检测人体样本中的性激素结合球蛋白（SHBG）含量。临床上用于多种雄激素异常疾病的辅助诊断。,Ⅱ,495
6,10,用于激素检测的试剂,10037,甲状腺结合球蛋白检测试剂,用于检测人体样本中的甲状腺结合球蛋白含量。临床上用于甲状腺疾病的辅助诊断。,Ⅱ,496
7,10,用于激素检测的试剂,10038,高香草酸检测试剂,用于检测人体样本中的高香草酸含量。临床上用于儿茶酚胺分泌异常疾病的辅助诊断。,Ⅱ,497
8,10,用于激素检测的试剂,10039,抗缪勒管激素（AMH）检测试剂,用于检测人体样本中的抗缪勒管激素（AMH）含量。临床上用于监测卵巢储备力和多囊卵巢综合征的辅助诊断。,Ⅱ,498
9,10,用于激素检测的试剂,10040,胰高血糖素检测试剂,用于检测人体样本中的胰高血糖素含量。临床上用于糖尿病的辅助诊断。,Ⅱ,499
10,10,用于激素检测的试剂,10041,抑制素A检测试剂,用于检测人体样本中的抑制素A（Inhibin A）含量。临床上用于妊娠相关疾病的辅助诊断及评估孕期唐氏综合征的风险。,Ⅱ,500
1,10,用于激素检测的试剂,10042,抑制素B检测试剂,用于检测人体样本中的抑制素B（Inhibin B）含量。临床上用于评价睾丸生精功能和女性卵巢储备功能。,Ⅱ,501
2,10,用于激素检测的试剂,10043,瘦素检测试剂,用于检测人体样本中的瘦素含量。临床上用于肥胖症和Ⅱ型糖尿病的辅助诊断。,Ⅱ,502
3,10,用于激素检测的试剂,10044,儿茶酚胺及其代谢产物检测试剂,用于检测人体样本中的儿茶酚胺及其代谢产物（甲氧基肾上腺素、甲氧基去甲肾上腺素、3-甲氧基酪胺、肾上腺素、去甲肾上腺素、多巴胺）的含量。临床上用于高血压等心血管系统疾病的辅助评估。不用于肿瘤的辅助诊断。,Ⅱ,503
4,11,用于酶类检测试剂,11001,肌酸激酶检测试剂,用于检测人体样本中的肌酸激酶活性或含量。临床上用于心肌梗死、病毒性心肌炎的辅助诊断。,Ⅱ,504
5,11,用于酶类检测试剂,11002,肌酸激酶同工酶检测试剂,用于检测人体样本中的肌酸激酶同工酶活性或含量。临床上用于心肌梗死、肌病等疾病的辅助诊断。,Ⅱ,505
6,11,用于酶类检测试剂,11003,肾素检测试剂,用于检测人体样本中的肾素活性。临床上用于肾性高血压、内分泌型高血压的辅助诊断。,Ⅱ,506
7,11,用于酶类检测试剂,11004,丙氨酸氨基转移酶检测试剂,用于检测人体样本中的丙氨酸氨基转移酶（谷丙转氨酶，ALT）活性。临床上用于肝功能和中枢神经系统疾病的辅助诊断。,Ⅱ,507
8,11,用于酶类检测试剂,11005,天门冬氨酸氨基转移酶检测试剂,用于检测人体样本中的天冬氨酸氨基转移酶（谷草转氨酶，AST）活性。临床上用于病毒性肝炎、阻塞性黄疸、心肌梗死的辅助诊断。,Ⅱ,508
9,11,用于酶类检测试剂,11006,天门冬氨酸氨基转移酶线粒体同工酶检测试剂,用于检测人体样本中的天门冬氨酸氨基转移酶线粒体同工酶活性。临床上用于毒性肝炎、阻塞性黄疸、心肌梗死的辅助诊断。,Ⅱ,509
10,11,用于酶类检测试剂,11007,碱性磷酸酶检测试剂,用于检测人体样本中的碱性磷酸酶活性。临床上用于肝胆疾病、肾病和骨骼疾病的辅助诊断。,Ⅱ,510
1,11,用于酶类检测试剂,11008,碱性磷酸酶同工酶检测试剂,用于检测人体样本中的碱性磷酸酶同工酶。临床上用于骨骼、肝胆系统疾病的辅助诊断。,Ⅱ,511
2,11,用于酶类检测试剂,11009,骨型碱性磷酸酶检测试剂,用于检测人体样本中的骨型碱性磷酸酶含量。临床上用于佝偻病、骨质疏松等骨代谢疾病的辅助诊断。,Ⅱ,512
3,11,用于酶类检测试剂,11010,乳酸脱氢酶检测试剂,用于检测人体样本中的乳酸脱氢酶活性。临床上用于心肌梗死、肝病等疾病的辅助诊断。,Ⅱ,513
4,11,用于酶类检测试剂,11011,乳酸脱氢酶同工酶检测试剂,用于检测人体样本中的乳酸脱氢酶同工酶活性。临床上用于心肌梗死、肝病等疾病的辅助诊断。,Ⅱ,514
5,11,用于酶类检测试剂,11012,γ-谷氨酰基转移酶检测试剂,用于检测人体样本中的γ-谷氨酰基转移酶活性。临床上用于肝胆系统疾病的辅助诊断。,Ⅱ,515
6,11,用于酶类检测试剂,11013,α-淀粉酶检测试剂,用于检测人体样本中的α-淀粉酶活性。临床上用于胰腺疾病的辅助诊断。,Ⅱ,516
7,11,用于酶类检测试剂,11014,淀粉酶同工酶检测试剂,用于检测人体样本中的淀粉酶同工酶活性。临床上用于胰腺疾病的辅助诊断。,Ⅱ,517
8,11,用于酶类检测试剂,11015,胰淀粉酶检测试剂,用于检测人体样本中的胰淀粉酶活性。临床上用于急性胰腺炎等疾病的辅助诊断。,Ⅱ,518
9,11,用于酶类检测试剂,11016,胆碱脂酶检测试剂,用于检测人体样本中的胆碱脂酶活性。临床上用于肝脏损伤及有机磷中毒的辅助诊断。,Ⅱ,519
10,11,用于酶类检测试剂,11017,丁酰胆碱脂酶检测试剂,用于检测人体样本中的丁酰胆碱脂酶活性。临床上用于有机磷中毒的辅助诊断。,Ⅱ,520
1,11,用于酶类检测试剂,11018,腺苷脱氨酶检测试剂,用于检测人体样本中的腺苷脱氨酶活性。临床上用于肝损伤和中枢神经系统疾病、胸腹水等其他体液的辅助诊断。,Ⅱ,521
2,11,用于酶类检测试剂,11019,脂肪酶检测试剂,用于检测人体样本中的脂肪酶活性。临床上用于急性胰腺炎的辅助诊断。,Ⅱ,522
3,11,用于酶类检测试剂,11020,单胺氧化酶检测试剂,用于检测人体样本中的单胺氧化酶活性。临床上用于肝纤维化的辅助诊断。,Ⅱ,523
4,11,用于酶类检测试剂,11021,5'-核苷酸酶检测试剂,用于检测人体样本中的5'-核苷酸酶活性。用于肝胆系统疾病的辅助诊断。,Ⅱ,524
5,11,用于酶类检测试剂,11022,α-羟丁酸脱氢酶检测试剂,用于检测人体样本中的α-羟丁酸脱氢酶活性。临床上用于心肌梗死的辅助诊断。,Ⅱ,525
6,11,用于酶类检测试剂,11023,N-乙酰-β-D-氨基葡萄糖苷酶检测试剂,用于检测人体样本中的N-乙酰-β-D-氨基葡萄糖苷酶活性。临床上用于肾小管损害的辅助诊断。,Ⅱ,526
7,11,用于酶类检测试剂,11024,超氧化物歧化酶检测试剂,用于检测人体样本中的超氧化物歧化酶活性。临床上用于机体抗氧化能力的辅助诊断。,Ⅱ,527
8,11,用于酶类检测试剂,11025,甘氨酰脯氨酸二肽氨基肽酶检测试剂,用于检测人体样本中的甘氨酰脯氨酸二肽氨基肽酶活性。临床上用于肝胆疾病、胃肠疾病的辅助诊断。,Ⅱ,528
9,11,用于酶类检测试剂,11026,谷胱甘肽还原酶检测试剂,用于检测人体样本中的谷胱甘肽还原酶活性。临床上用于葡萄糖-6磷酸脱氢酶（G-6-PD）缺乏症的辅助诊断。,Ⅱ,529
10,11,用于酶类检测试剂,11027,谷胱甘肽过氧化物酶检测试剂,用于检测人体样本中的谷胱甘肽过氧化物酶活性。临床上用于抗氧化能力的辅助评价。,Ⅱ,530
1,11,用于酶类检测试剂,11028,谷胱甘肽转移酶检测试剂,用于检测人体样本中的谷胱甘肽转移酶活性。临床上用于肝炎的辅助诊断。,Ⅱ,531
2,11,用于酶类检测试剂,11029,α1-抗胰蛋白酶（α1-蛋白酶抑制物）检测试剂,用于检测人体样本中的α1- 抗胰蛋白酶（α1- 蛋白酶抑制物）活性。临床上用于非特异性炎症的辅助诊断。,Ⅱ,532
3,11,用于酶类检测试剂,11030,亮氨酸氨基转肽酶检测试剂,用于检测人体样本中的亮氨酸氨基转肽酶活性。临床上用于肝、胆疾病的辅助诊断。,Ⅱ,533
4,11,用于酶类检测试剂,11031,磷酸已糖异构酶检测试剂,用于检测人体样本中的磷酸已糖异构酶活性。临床上用于肝脏疾病的辅助诊断。,Ⅱ,534
5,11,用于酶类检测试剂,11032,醛缩酶检测试剂,用于检测人体样本中的醛缩酶活性。临床上用于肌肉、肝脏等疾病的辅助诊断。,Ⅱ,535
6,11,用于酶类检测试剂,11033,血管紧张素转化酶检测试剂,用于检测人体样本中的血管紧张素转化酶活性。临床上用于高血压的用药监测和结节病的辅助诊断。,Ⅱ,536
7,11,用于酶类检测试剂,11034,异柠檬酸脱氢酶检测试剂,用于检测人体样本中的异柠檬酸脱氢酶活性。临床上用于肝脏疾病的辅助诊断。,Ⅱ,537
8,11,用于酶类检测试剂,11035,髓过氧化物酶（MPO）检测试剂,用于检测人体样本中的髓过氧化物酶（MPO）活性或含量。临床上用于心血管系统炎症的辅助诊断。,Ⅱ,538
9,11,用于酶类检测试剂,11036,尿胰蛋白酶原-2（TG-2）检测试剂,用于检测人体尿液样本中胰蛋白酶原2（TG-2）。临床上用于急性胰腺炎疾病的辅助诊断。,Ⅱ,539
10,11,用于酶类检测试剂,11037,脂蛋白相关磷脂酶A2（Lp-PLA2）检测试剂,用于检测人体样本中的脂蛋白相关磷脂酶A2（Lp-PLA2）。临床上用于短暂性脑缺血发作（TIA）、动脉粥样硬化症、冠心病等心脑血管疾病的辅助诊断。,Ⅱ,540
1,11,用于酶类检测试剂,11038,谷氨酸脱氢酶检测试剂,用于检测人体样本中的谷氨酸脱氢酶（GLDH）活性。临床上用于肝脏疾病的辅助诊断。,Ⅱ,541
2,11,用于酶类检测试剂,11039,胃蛋白酶检测试剂,用于检测人体唾液样本中胃蛋白酶活性。临床上可用于胃食管及咽喉反流相关疾病的辅助诊断。,Ⅱ,542
3,11,用于酶类检测试剂,11040,基质金属蛋白酶-3（MMP-3）检测试剂,用于检测人体样本中的基质金属蛋白酶-3（MMP-3）。用于类风湿关节炎的辅助诊断。,Ⅱ,543
4,11,用于酶类检测试剂,11041,抗酒石酸酸性磷酸酶5b（TRACP-5b）检测试剂,用于检测人体样本中的抗酒石酸酸性磷酸酶5b（TRACP-5b）活性。临床上用于原发性骨质疏松、糖尿病的辅助诊断。不用于肿瘤的辅助诊断。,Ⅱ,544
5,11,用于酶类检测试剂,11042,二胺氧化酶（DAO）检测试剂,用于检测人体样本中的二胺氧化酶（DAO）活性。临床上用于肠道屏障功能损伤的辅助诊断。,Ⅱ,545
6,11,用于酶类检测试剂,11043,羧肽酶B检测试剂,用于检测人体尿液样本中的羧肽酶B。临床上用于急性胰腺炎的辅助诊断。,Ⅱ,546
7,11,用于酶类检测试剂,11044,前列腺酸性磷酸酶（PACP）检测试剂,用于检测人体样本中的前列腺酸性磷酸酶（PACP）活性。临床上用于对恶性肿瘤患者进行动态监测，以辅助判断疾病进程或者治疗效果。,Ⅱ,547
8,11,用于酶类检测试剂,11045,前列腺碱性磷酸酶（PAP）检测试剂,用于检测人体样本中的前列腺碱性磷酸酶（PAP）。临床上用于前列腺癌的治疗效果及预后评估及转移性骨肿瘤的治疗监测。,Ⅱ,548
9,11,用于酶类检测试剂,11046,β-D-半乳糖苷酶检测试剂,用于检测人体样本中β-D-半乳糖苷酶活性。临床上用于肾小管损伤的辅助诊断。,Ⅱ,549
10,11,用于酶类检测试剂,11047,胰蛋白酶检测试剂,用于检测人体样本中的胰蛋白酶活性。临床上用于胰腺疾病的辅助诊断。,Ⅱ,550
1,11,用于酶类检测试剂,11048,胰弹性蛋白酶1（E1）检测试剂,用于检测人体样本中的胰弹性蛋白酶1（E1）。临床上用于与胃肠病状相关的胰腺疾病、急性胰腺炎的辅助诊断。,Ⅱ,551
2,11,用于酶类检测试剂,11049,乙醇脱氢酶检测试剂,用于检测人体样本中的乙醇脱氢酶活性。临床上用于肝脏疾病的辅助诊断。,Ⅱ,552
3,11,用于酶类检测试剂,11050,卵磷脂胆固醇酰基转移酶检测试剂,用于检测人体样本中的卵磷脂胆固醇酰基转移酶活性。临床上用于肝胆系统疾病的辅助诊断。,Ⅱ,553
4,11,用于酶类检测试剂,11051,胸腺嘧啶核苷激酶1检测试剂,用于检测人体样本中的胸腺嘧啶核苷激酶1（胸苷激酶1，TK1）。临床上用于肿瘤增殖的监测。,Ⅱ,554
5,11,用于酶类检测试剂,11052,α-L-岩藻糖苷酶检测试剂,用于检测人体样本中的α-L-岩藻糖苷酶含量。临床上用于慢性肝炎、肝硬化、肝癌的治疗监测。,Ⅱ,555
6,11,用于酶类检测试剂,11053,神经元特异性烯醇化酶（NSE）检测试剂,用于检测人体样本中的神经元特异性烯醇化酶（NSE）含量。临床上用于肺癌和神经母细胞瘤等的治疗监测和复发监测。,Ⅱ,556
7,11,用于酶类检测试剂,11054,白细胞酯酶检测试剂,用于检测人体样本中的白细胞酯酶活性。临床上用于生殖系统炎症的辅助诊断。,Ⅱ,557
8,12,用于酯类检测的试剂,12001,总胆固醇检测试剂,用于检测人体样本中的总胆固醇含量。临床上用于高胆固醇血症的辅助诊断。,Ⅱ,558
9,12,用于酯类检测的试剂,12002,游离胆固醇检测试剂,用于检测人体样本中的游离胆固醇含量。临床上用于肝脏疾病的辅助诊断。,Ⅱ,559
10,12,用于酯类检测的试剂,12003,甘油三酯检测试剂,用于检测人体样本中的甘油三酯含量。临床上用于高甘油三酯血症、动脉粥样硬化、冠心病的辅助诊断。,Ⅱ,560
1,12,用于酯类检测的试剂,12004,游离脂肪酸检测试剂,用于检测人体样本中的游离脂肪酸含量。临床上用于高脂血症、冠心病和动脉粥样硬化的辅助诊断。,Ⅱ,561
2,12,用于酯类检测的试剂,12005,高密度脂蛋白胆固醇检测试剂,用于检测人体样本中的高密度脂蛋白胆固醇含量。临床上用于高胆固醇血症、冠心病和动脉粥样硬化的辅助诊断。,Ⅱ,562
3,12,用于酯类检测的试剂,12006,低密度脂蛋白胆固醇检测试剂,用于检测人体样本中的低密度脂蛋白胆固醇含量。临床上用于高胆固醇血症、冠心病和动脉粥样硬化的辅助诊断。,Ⅱ,563
4,12,用于酯类检测的试剂,12007,脂蛋白（a）检测试剂,用于检测人体样本中的脂蛋白（a）含量。临床上用于评价心血管疾病风险。,Ⅱ,564
5,12,用于酯类检测的试剂,12008,载脂蛋白A1检测试剂,用于检测人体样本中的载脂蛋白A1（A-I）含量。临床上用于评价心血管疾病风险。,Ⅱ,565
6,12,用于酯类检测的试剂,12009,载脂蛋白A2检测试剂,用于检测人体样本中的载脂蛋白A2（A-II）含量。临床上用于评价心血管疾病风险。,Ⅱ,566
7,12,用于酯类检测的试剂,12010,载脂蛋白B检测试剂,用于检测人体样本中的载脂蛋白B含量。临床上用于评价心血管疾病风险。,Ⅱ,567
8,12,用于酯类检测的试剂,12011,载脂蛋白C2检测试剂,用于检测人体样本中的载脂蛋白C2含量。临床上用于评价心血管疾病风险。,Ⅱ,568
9,12,用于酯类检测的试剂,12012,载脂蛋白C3检测试剂,用于检测人体样本中的载脂蛋白C3含量。临床上用于评价心血管疾病风险。,Ⅱ,569
10,12,用于酯类检测的试剂,12013,载脂蛋白E检测试剂,用于检测人体样本中的载脂蛋白E含量。临床上用于评价心血管疾病风险。,Ⅱ,570
1,12,用于酯类检测的试剂,12014,脂蛋白残粒胆固醇检测试剂,用于检测人体样本中的脂蛋白残粒胆固醇含量。临床上用于评价心血管疾病风险。,Ⅱ,571
2,12,用于酯类检测的试剂,12015,小而密低密度脂蛋白胆固醇检测试剂,用于检测人体样本中小而密低密度脂蛋白胆固醇的含量。临床上用于冠心病和动脉粥样硬化的辅助诊断。,Ⅱ,572
3,12,用于酯类检测的试剂,12016,乙酰乙酸检测试剂,用于检测人体样本中的乙酰乙酸含量。临床上用于酮症酸中毒的辅助诊断。,Ⅱ,573
4,12,用于酯类检测的试剂,12017,氧化型低密度脂蛋白检测试剂,用于检测人体样本中的氧化低密度脂蛋白（ox-LDL）含量。临床上用于冠心病和动脉粥样硬化相关疾病的辅助诊断。,Ⅱ,574
5,13,用于维生素检测的试剂,13001,25-羟基维生素D2检测试剂,用于检测人体样本中的25-羟基维生素D2含量。临床上用于维生素D缺乏相关疾病的辅助诊断。,Ⅱ,575
6,13,用于维生素检测的试剂,13002,25-羟基维生素D3检测试剂,用于检测人体样本中的25-羟基维生素D3含量。临床上用于维生素D缺乏相关疾病的辅助诊断。,Ⅱ,576
7,13,用于维生素检测的试剂,13003,25-羟基维生素D检测试剂,用于检测人体样本中的25-羟基维生素D含量。临床上用于维生素D缺乏相关疾病的辅助诊断。,Ⅱ,577
8,13,用于维生素检测的试剂,13004,"1,25-二羟基维生素D3检测试剂","用于检测人体样本中1,25-二羟基维生素D3含量。临床上用于维生素D缺乏相关疾病的辅助诊断。",Ⅱ,578
9,13,用于维生素检测的试剂,13005,维生素B12检测试剂,用于检测人体样本中的维生素B12（Vitamin B12，VB12）含量。临床上用于维生素B12缺乏相关疾病的辅助诊断。,Ⅱ,579
10,13,用于维生素检测的试剂,13006,全转运钴胺素检测试剂,用于检测人体样本中的全转运钴胺素（活性维生素B12）。临床上用于维生素B12缺乏症的辅助诊断。,Ⅱ,580
1,13,用于维生素检测的试剂,13007,叶酸检测试剂,用于检测人体样本中叶酸（维生素B9）含量。临床上用于巨幼红细胞性贫血的辅助诊断。,Ⅱ,581
2,13,用于维生素检测的试剂,13008,红细胞叶酸检测试剂,用于检测人体样本中的红细胞叶酸含量。临床上用于巨幼红细胞性贫血的辅助诊断。,Ⅱ,582
3,13,用于维生素检测的试剂,13009,维生素A检测试剂,用于检测人体样本中的维生素A含量。临床上用于维生素A缺乏相关疾病的辅助诊断。,Ⅱ,583
4,13,用于维生素检测的试剂,13010,维生素C检测试剂,用于检测人体样本中的维生素C含量。临床上用于维生素C缺乏的辅助诊断。,Ⅱ,584
5,13,用于维生素检测的试剂,13011,维生素E检测试剂,用于检测人体样本中的维生素E含量。临床上用于维生素E缺乏相关疾病的辅助诊断。,Ⅱ,585
6,13,用于维生素检测的试剂,13012,水溶性维生素检测试剂,用于检测人体样本中的维生素B1、维生素B2、维生素B3、维生素B5、维生素B6、维生素B7、维生素B9、维生素B12、维生素C等水溶性维生素含量。临床上用于水溶性维生素缺乏相关疾病的辅助诊断。,Ⅱ,586
7,13,用于维生素检测的试剂,13013,脂溶性维生素检测试剂,用于检测人体样本中的维生素A、维生素D、维生素E、维生素K含量。临床上用于脂溶性维生素蓄积或缺乏所引起的疾病如维生素中毒和发育迟缓的辅助诊断。,Ⅱ,587
8,14,用于无机离子检测的试剂,14001,碘检测试剂,用于检测人体样本中的碘含量。临床上用于甲状腺疾病的辅助诊断。,Ⅱ,588
9,14,用于无机离子检测的试剂,14002,氨检测试剂,用于检测人体样本中的氨含量。临床上用于肝性脑病、肝脏疾病的辅助诊断。,Ⅱ,589
10,14,用于无机离子检测的试剂,14003,氯检测试剂,用于检测人体样本中的氯含量。临床上用于氯代谢紊乱的辅助诊断。,Ⅱ,590
1,14,用于无机离子检测的试剂,14004,二氧化碳检测试剂,用于检测人体样本中的二氧化碳含量。临床上作为体内酸碱平衡的评价指标。,Ⅱ,591
2,14,用于无机离子检测的试剂,14005,锂检测试剂,用于检测人体样本中的锂含量。临床上用于锂盐中毒的辅助诊断。,Ⅱ,592
3,14,用于无机离子检测的试剂,14006,铅检测试剂,用于检测人体样本中的铅含量。临床上用于铅中毒的辅助诊断。,Ⅱ,593
4,14,用于无机离子检测的试剂,14007,镉检测试剂,用于检测人体样本中的镉含量。临床上用于镉中毒的辅助诊断。,Ⅱ,594
5,14,用于无机离子检测的试剂,14008,钙检测试剂,用于检测人体样本中的钙离子含量。临床上用于钙代谢紊乱的辅助诊断。,Ⅱ,595
6,14,用于无机离子检测的试剂,14009,铜检测试剂,用于检测人体样本中的铜离子含量。临床上用于铜代谢紊乱的辅助诊断。,Ⅱ,596
7,14,用于无机离子检测的试剂,14010,钾检测试剂,用于检测人体样本中的钾离子含量。临床上用于钾代谢紊乱的辅助诊断。,Ⅱ,597
8,14,用于无机离子检测的试剂,14011,镁检测试剂,用于检测人体样本中的镁离子含量。临床上用于镁代谢紊乱的辅助诊断。,Ⅱ,598
9,14,用于无机离子检测的试剂,14012,钠检测试剂,用于检测人体样本中的钠离子含量。临床上用于钠代谢紊乱的辅助诊断。,Ⅱ,599
10,14,用于无机离子检测的试剂,14013,磷检测试剂,用于检测人体样本中的磷含量。临床上用于磷代谢紊乱的辅助诊断。,Ⅱ,600
1,14,用于无机离子检测的试剂,14014,锌检测试剂,用于检测人体样本中的锌离子含量。临床上用于锌代谢紊乱的辅助诊断。,Ⅱ,601
2,14,用于无机离子检测的试剂,14015,铁检测试剂,用于检测人体样本中的铁离子含量。临床上用于贫血及铁代谢的相关疾病的辅助诊断。,Ⅱ,602
3,14,用于无机离子检测的试剂,14016,总铁结合力检测试剂,用于检测人体样本中的总铁结合力含量。临床上用于贫血、铁中毒的辅助诊断。,Ⅱ,603
4,14,用于无机离子检测的试剂,14017,不饱和铁结合力检测试剂,用于检测人体样本中的不饱和铁结合力含量。临床上用于贫血、肝功能障碍等由铁代谢异常引起的疾病的辅助诊断。,Ⅱ,604
5,14,用于无机离子检测的试剂,14018,一氧化氮检测试剂,用于检测人体样本中的一氧化氮。临床上用于哮喘疾病的辅助诊断及治疗效果的监测。,Ⅱ,605
6,14,用于无机离子检测的试剂,14019,汞检测试剂,用于检测人体样本中的汞含量。临床上用于汞中毒的辅助诊断。,Ⅱ,606
7,14,用于无机离子检测的试剂,14020,铬检测试剂,用于检测人体样本中的铬含量。临床上用于铬中毒的辅助诊断。,Ⅱ,607
8,14,用于无机离子检测的试剂,14021,锰检测试剂,用于检测人体样本中的锰含量。临床上用于锰中毒的辅助诊断。,Ⅱ,608
